ticker,exchange,assetType,priceCurrency,startDate,endDate
OXSQ,NASDAQ,Stock,USD,3/21/18,8/11/20
BTBT,NASDAQ,Stock,USD,3/20/18,8/11/20
OXSQL,NASDAQ,Stock,USD,3/19/18,8/11/20
AIHS,NASDAQ,Stock,USD,3/16/18,8/11/20
LAZY,NASDAQ,Stock,USD,3/16/18,8/11/20
TIBRU,NASDAQ,Stock,USD,3/16/18,3/17/20
TSCAP,NASDAQ,Stock,USD,3/16/18,8/11/20
ZS,NASDAQ,Stock,USD,3/16/18,8/11/20
BWB,NASDAQ,Stock,USD,3/14/18,8/11/20
OPESU,NASDAQ,Stock,USD,3/14/18,8/11/20
GLIBA,NASDAQ,Stock,USD,3/12/18,8/11/20
GLIBP,NASDAQ,Stock,USD,3/12/18,8/11/20
GPAQ,NASDAQ,Stock,USD,3/12/18,7/1/20
GPAQW,NASDAQ,Stock,USD,3/12/18,7/1/20
HYMC,NASDAQ,Stock,USD,3/12/18,8/11/20
HYMCW,NASDAQ,Stock,USD,3/12/18,8/11/20
THWWW,NASDAQ,Stock,USD,3/12/18,8/11/20
BTAI,NASDAQ,Stock,USD,3/8/18,8/11/20
LPRO,NASDAQ,Stock,USD,3/6/18,8/11/20
PIHPP,NASDAQ,Stock,USD,2/28/18,8/11/20
KERNW,NASDAQ,Stock,USD,2/27/18,8/11/20
KERN,NASDAQ,Stock,USD,2/26/18,8/11/20
LACQ,NASDAQ,Stock,USD,2/26/18,8/11/20
STCN,NASDAQ,Stock,USD,2/26/18,8/11/20
TRMD,NASDAQ,Stock,USD,2/23/18,8/11/20
CVON,NASDAQ,Stock,USD,2/21/18,1/4/19
GRBIC,NASDAQ,Stock,USD,2/21/18,3/7/19
DFBHU,NASDAQ,Stock,USD,2/16/18,11/8/19
FAMI,NASDAQ,Stock,USD,2/16/18,8/11/20
SOHOK,NASDAQ,Stock,USD,2/16/18,5/15/19
BFRA,NASDAQ,Stock,USD,2/14/18,8/11/20
BLNKW,NASDAQ,Stock,USD,2/14/18,8/11/20
MOTS,NASDAQ,Stock,USD,2/14/18,8/11/20
BLNK,NASDAQ,Stock,USD,2/13/18,8/11/20
VXRT,NASDAQ,Stock,USD,2/12/18,8/11/20
CDLX,NASDAQ,Stock,USD,2/9/18,8/11/20
EOLS,NASDAQ,Stock,USD,2/8/18,8/11/20
MUDSU,NASDAQ,Stock,USD,2/8/18,5/29/20
VCTR,NASDAQ,Stock,USD,2/8/18,8/11/20
ADCC,NASDAQ,Stock,USD,2/7/18,12/12/18
